# length                 R                      Z                      theta_geo              Phi                    T_e                    Te_float               Phi_float              Phi_error              Phi_Te_ratio           vparB_norm             vExB_norm              vflow_norm             partF_vpar             partF_ExB              
# time step #000500,  t_now =   1.411010E+02
  0.000000000000000E+00  1.583567318513551E+00 -1.185189083060966E+00  4.656464968254047E+00  1.225964113814435E+01  4.086547046048108E+00  4.086547046048108E+00  1.225964113814432E+01  2.309263891220326E-14  3.000000000000006E+00  1.857815042434015E+03 -3.615126907508804E+02  1.496302351683135E+03  1.492525136879597E+21 -2.904308372591041E+20
  0.000000000000000E+00  1.583692315528325E+00 -1.184741463402156E+00  4.656550140865074E+00  1.256905515736900E+01  4.189685052456325E+00  4.189685052456325E+00  1.256905515736898E+01  2.131628207280301E-14  3.000000000000005E+00  1.897124520989395E+03 -3.480933966718414E+02  1.549031124317553E+03  1.524870609664245E+21 -2.797904850896479E+20
  0.000000000000000E+00  1.583817312545172E+00 -1.184293843743925E+00  4.656635379502304E+00  1.286717524547367E+01  4.289058415157883E+00  4.289058415157883E+00  1.286717524547365E+01  2.131628207280301E-14  3.000000000000005E+00  1.935389578196490E+03 -3.356714011582758E+02  1.599718177038214E+03  1.556447107709524E+21 -2.699481217422158E+20
  0.000000000000000E+00  1.583942309562018E+00 -1.183846224085693E+00  4.656720684239502E+00  1.315487307123111E+01  4.384957690410361E+00  4.384957690410361E+00  1.315487307123108E+01  2.131628207280301E-14  3.000000000000005E+00  1.972576041767682E+03 -3.242469408368241E+02  1.648329100930858E+03  1.587230569502175E+21 -2.609048501382859E+20
  0.000000000000000E+00  1.584067306576792E+00 -1.183398604426883E+00  4.656806055150550E+00  1.343302030341404E+01  4.477673434471340E+00  4.477673434471340E+00  1.343302030341402E+01  2.131628207280301E-14  3.000000000000005E+00  2.008650030086319E+03 -3.138202523341343E+02  1.694829777752184E+03  1.617197155304141E+21 -2.526618434022478E+20
  0.000000000000000E+00  1.584191707315719E+00 -1.182953120052656E+00  4.656891084592754E+00  1.370114766692231E+01  4.567049222307398E+00  4.567049222307398E+00  1.370114766692219E+01  1.136868377216160E-13  3.000000000000025E+00  2.043441108624904E+03 -3.041952656342023E+02  1.739245842990702E+03  1.646208070169544E+21 -2.450614794234882E+20
  0.000000000000000E+00  1.584316108055235E+00 -1.182507635678594E+00  4.656976179731147E+00  1.396115696708065E+01  4.653718989026776E+00  4.653718989026776E+00  1.396115696708033E+01  3.250733016102458E-13  3.000000000000070E+00  2.077146677645817E+03 -2.951587145204273E+02  1.781987963125390E+03  1.674429387838527E+21 -2.379333298839465E+20
  0.000000000000000E+00  1.584440508794751E+00 -1.182062151304532E+00  4.657061340640151E+00  1.421356012781838E+01  4.737853375939282E+00  4.737853375939283E+00  1.421356012781785E+01  5.311306949806749E-13  3.000000000000112E+00  2.109776690413529E+03 -2.867107379617634E+02  1.823065952451765E+03  1.701871814319277E+21 -2.312779954470749E+20
  0.000000000000000E+00  1.584564909533678E+00 -1.181616666930306E+00  4.657146567394302E+00  1.445886907306479E+01  4.819623024354720E+00  4.819623024354720E+00  1.445886907306416E+01  6.270539643082884E-13  3.000000000000130E+00  2.141341056286134E+03 -2.788514749273332E+02  1.862489581358800E+03  1.728545992269372E+21 -2.250961368386698E+20
  0.000000000000000E+00  1.584688421544466E+00 -1.181174365125259E+00  4.657231250497876E+00  1.469586119083655E+01  4.898620396945369E+00  4.898620396945369E+00  1.469586119083611E+01  4.369837824924616E-13  3.000000000000089E+00  2.171654946888635E+03 -2.714664029444510E+02  1.900188543944183E+03  1.754295818209068E+21 -2.192946794572564E+20
  0.000000000000000E+00  1.584811933554487E+00 -1.180732063319997E+00  4.657315998656742E+00  1.492660612635047E+01  4.975535375450148E+00  4.975535375450148E+00  1.492660612635044E+01  2.309263891220326E-14  3.000000000000004E+00  2.200981121711938E+03 -2.643880532557285E+02  1.936593068456209E+03  1.779343836853629E+21 -2.137397947022827E+20
  0.000000000000000E+00  1.584935445564508E+00 -1.180289761514735E+00  4.657400811945342E+00  1.515136904500017E+01  5.050456348333514E+00  5.050456348333514E+00  1.515136904500054E+01 -3.730349362740526E-13  2.999999999999926E+00  2.229336393930558E+03 -2.576164978442987E+02  1.971719896086259E+03  1.803705608262685E+21 -2.084316764431862E+20
  0.000000000000000E+00  1.585058957575296E+00 -1.179847459709688E+00  4.657485690438232E+00  1.537041511217928E+01  5.123471704059930E+00  5.123471704059930E+00  1.537041511217979E+01 -5.098144129078719E-13  2.999999999999901E+00  2.256737478699024E+03 -2.511518086932222E+02  2.005585670005802E+03  1.827396560577660E+21 -2.033705540501915E+20
  0.000000000000000E+00  1.585181285820662E+00 -1.179409397024325E+00  4.657569819779729E+00  1.558195264521308E+01  5.193984215071109E+00  5.193984215071109E+00  1.558195264521333E+01 -2.504663143554353E-13  2.999999999999952E+00  2.282966309465785E+03 -2.449396463460911E+02  2.038026663119695E+03  1.850226168555723E+21 -1.985109204228113E+20
  0.000000000000000E+00  1.585303614066810E+00 -1.178971334339181E+00  4.657654013226247E+00  1.578822664909859E+01  5.262742216366119E+00  5.262742216366119E+00  1.578822664909836E+01  2.327027459614328E-13  3.000000000000044E+00  2.308318663966749E+03 -2.388457638698360E+02  2.069472900096913E+03  1.872449508972430E+21 -1.937456211135421E+20
  0.000000000000000E+00  1.585425942312959E+00 -1.178533271654038E+00  4.657738270849207E+00  1.598933880735341E+01  5.329779602450903E+00  5.329779602450903E+00  1.598933880735271E+01  6.998845947236987E-13  3.000000000000131E+00  2.332804732925172E+03 -2.328701888678373E+02  2.099934544057335E+03  1.894076205513558E+21 -1.890744979563478E+20
  0.000000000000000E+00  1.585548270558325E+00 -1.178095208968675E+00  4.657822592720137E+00  1.618539080349513E+01  5.395130267831406E+00  5.395130267831406E+00  1.618539080349422E+01  9.094947017729282E-13  3.000000000000169E+00  2.356434656960674E+03 -2.270129489433893E+02  2.129421708017284E+03  1.915115759050190E+21 -1.844974036287044E+20
