# length                 R                      Z                      theta_geo              Phi                    T_e                    Te_float               Phi_float              Phi_error              Phi_Te_ratio           vparB_norm             vExB_norm              vflow_norm             partF_vpar             partF_ExB              
# time step #000500,  t_now =   1.411010E+02
  0.000000000000000E+00  1.580818842404555E+00 -1.195031493822492E+00  4.654608700009530E+00  2.305017056704859E+00  7.683390189023444E-01  7.683390189023444E-01  2.305017056707033E+00 -2.173816682216057E-12  2.999999999997171E+00  9.790312458372492E+02 -1.993518655782216E+02  7.796793802590277E+02  7.592337044008483E+20 -1.545963482020816E+20
  0.000000000000000E+00  1.580942631563715E+00 -1.194588199539721E+00  4.654691630232946E+00  2.503700618631270E+00  8.345668728785132E-01  8.345668728785132E-01  2.503700618635540E+00 -4.269473663498502E-12  2.999999999994884E+00  1.073241174500921E+03 -2.601368848401001E+02  8.131042896608215E+02  8.325972616413201E+20 -2.018085618737923E+20
  0.000000000000000E+00  1.581066420722875E+00 -1.194144905256949E+00  4.654774623608430E+00  2.755717187841289E+00  9.185723959488368E-01  9.185723959488368E-01  2.755717187846511E+00 -5.221156840207186E-12  2.999999999994316E+00  1.175074130594176E+03 -3.226609976015869E+02  8.524131329925887E+02  9.118891571330096E+20 -2.503936198423749E+20
  0.000000000000000E+00  1.581190821563115E+00 -1.193699420518020E+00  4.654858090772811E+00  3.063390135509720E+00  1.021130045171516E+00  1.021130045171516E+00  3.063390135514549E+00 -4.829026067909581E-12  2.999999999995271E+00  1.280536916210218E+03 -3.840260039945179E+02  8.965109122156999E+02  9.940107738463145E+20 -2.980983840258401E+20
  0.000000000000000E+00  1.581315222403355E+00 -1.193253935779092E+00  4.654941621858819E+00  3.421722277983756E+00  1.140574092662574E+00  1.140574092662574E+00  3.421722277987722E+00 -3.966160733170909E-12  2.999999999996522E+00  1.383442215505120E+03 -4.392517987152640E+02  9.441904167898559E+02  1.074161619630736E+21 -3.410532209048062E+20
  0.000000000000000E+00  1.581439623243595E+00 -1.192808451040164E+00  4.655025216938743E+00  3.825367872950125E+00  1.275122624317742E+00  1.275122624317742E+00  3.825367872953227E+00 -3.102851309222387E-12  2.999999999997567E+00  1.481568312684021E+03 -4.883369305850019E+02  9.932313820990192E+02  1.150619655312235E+21 -3.792535692991604E+20
  0.000000000000000E+00  1.581564024083836E+00 -1.192362966301236E+00  4.655108876084982E+00  4.268981178095553E+00  1.422993726032754E+00  1.422993726032754E+00  4.268981178098263E+00 -2.710720536924782E-12  2.999999999998095E+00  1.572710156859705E+03 -5.312799484246563E+02  1.041430208435048E+03  1.221677693707200E+21 -4.126970626299665E+20
  0.000000000000000E+00  1.581688916641732E+00 -1.191915720700314E+00  4.655192930429386E+00  4.747129715211263E+00  1.582376571738488E+00  1.582376571738488E+00  4.747129715215465E+00 -4.201972103601292E-12  2.999999999997345E+00  1.655020786259676E+03 -5.628008309315369E+02  1.092219955328140E+03  1.285912660015380E+21 -4.372831565442869E+20
  0.000000000000000E+00  1.581813809199628E+00 -1.191468475099392E+00  4.655277049494132E+00  5.248107198938715E+00  1.749369066315399E+00  1.749369066315399E+00  5.248107198946197E+00 -7.482015007553855E-12  2.999999999995723E+00  1.726841791416825E+03 -5.836909200886951E+02  1.143150871328130E+03  1.342045034513332E+21 -4.536255173398620E+20
  0.000000000000000E+00  1.581938701757524E+00 -1.191021229498470E+00  4.655361233352806E+00  5.762633410399746E+00  1.920877803470170E+00  1.920877803470170E+00  5.762633410410510E+00 -1.076383426834582E-11  2.999999999994397E+00  1.787299278162805E+03 -5.939476966467122E+02  1.193351581516093E+03  1.389402048760453E+21 -4.617201812030966E+20
  0.000000000000000E+00  1.582063594315420E+00 -1.190573983897548E+00  4.655445482079107E+00  6.281428130716197E+00  2.093809376909483E+00  2.093809376909483E+00  6.281428130728450E+00 -1.225419765660263E-11  2.999999999994147E+00  1.835526228732560E+03 -5.935686413561079E+02  1.241957587376452E+03  1.427315891658116E+21 -4.615624344319461E+20
  0.000000000000000E+00  1.582188825197155E+00 -1.190125526744464E+00  4.655530024234012E+00  6.796902995673157E+00  2.265634331894498E+00  2.265634331894498E+00  6.796902995683494E+00 -1.033662044847006E-11  2.999999999995438E+00  1.874959344161807E+03 -5.843827090155403E+02  1.290576635146267E+03  1.458461754131169E+21 -4.545697662877840E+20
