# length                 R                      Z                      theta_geo              Phi                    T_e                    Te_float               Phi_float              Phi_error              Phi_Te_ratio           vparB_norm             vExB_norm              vflow_norm             partF_vpar             partF_ExB              
# time step #000500,  t_now =   1.411010E+02
  0.000000000000000E+00  1.580818842404555E+00 -1.195031493822492E+00  4.654608700009530E+00  2.639106168840188E+00  8.797020562792878E-01  8.797020562792878E-01  2.639106168837864E+00  2.324807013565078E-12  3.000000000002643E+00  8.225708523340219E+02 -2.945205558655786E+02  5.280502964684432E+02  6.562321339583778E+20 -2.349631673938690E+20
  0.000000000000000E+00  1.580942631563715E+00 -1.194588199539721E+00  4.654691630232946E+00  2.917384604766638E+00  9.724615349210097E-01  9.724615349210096E-01  2.917384604763029E+00  3.608668919241609E-12  3.000000000003710E+00  8.638529702326866E+02 -3.482100471458912E+02  5.156429230867955E+02  6.895213283188288E+20 -2.779387957389603E+20
  0.000000000000000E+00  1.581066420722875E+00 -1.194144905256949E+00  4.654774623608430E+00  3.240986227393730E+00  1.080328742463178E+00  1.080328742463178E+00  3.240986227389533E+00  4.196643033083092E-12  3.000000000003884E+00  9.087429200205950E+02 -3.993300929452303E+02  5.094128270753647E+02  7.257046479747860E+20 -3.188973450489047E+20
  0.000000000000000E+00  1.581190821563115E+00 -1.193699420518020E+00  4.654858090772811E+00  3.611372068275185E+00  1.203790689423746E+00  1.203790689423746E+00  3.611372068271239E+00  3.946176718727656E-12  3.000000000003278E+00  9.564254193508215E+02 -4.515361023001690E+02  5.048893170506526E+02  7.641327407546880E+20 -3.607531882982685E+20
  0.000000000000000E+00  1.581315222403355E+00 -1.193253935779092E+00  4.654941621858819E+00  4.024259051775807E+00  1.341419683924140E+00  1.341419683924140E+00  4.024259051772420E+00  3.387512492736278E-12  3.000000000002526E+00  1.005954176467529E+03 -4.971655936460921E+02  5.087885828214373E+02  8.040505041888450E+20 -3.973801745525035E+20
  0.000000000000000E+00  1.581439623243595E+00 -1.192808451040164E+00  4.655025216938743E+00  4.473922500880691E+00  1.491307500292620E+00  1.491307500292620E+00  4.473922500877860E+00  2.830624623584299E-12  3.000000000001898E+00  1.056591045570950E+03 -5.362170129368997E+02  5.203740326340505E+02  8.448695775866855E+20 -4.287689575960650E+20
  0.000000000000000E+00  1.581564024083836E+00 -1.192362966301236E+00  4.655108876084982E+00  4.954637738574924E+00  1.651545912857449E+00  1.651545912857449E+00  4.954637738572349E+00  2.574829238710663E-12  3.000000000001559E+00  1.107603339724992E+03 -5.686888061262040E+02  5.389145335987877E+02  8.860054309091052E+20 -4.549113862821473E+20
  0.000000000000000E+00  1.581688916641732E+00 -1.191915720700314E+00  4.655192930429386E+00  5.461066114484805E+00  1.820355371494220E+00  1.820355371494220E+00  5.461066114482662E+00  2.142286348316702E-12  3.000000000001177E+00  1.158580580335569E+03 -5.903643900332822E+02  5.682161903022868E+02  9.271333065723111E+20 -4.724285028630207E+20
  0.000000000000000E+00  1.581813809199628E+00 -1.191468475099392E+00  4.655277049494132E+00  5.982146537527949E+00  1.994048845842251E+00  1.994048845842251E+00  5.982146537526756E+00  1.192823617657268E-12  3.000000000000598E+00  1.209063121392455E+03 -6.023631155412920E+02  6.067000058511626E+02  9.678864370633266E+20 -4.822073218544406E+20
  0.000000000000000E+00  1.581938701757524E+00 -1.191021229498470E+00  4.655361233352806E+00  6.509432500240612E+00  2.169810833413455E+00  2.169810833413455E+00  6.509432500240365E+00  2.460254222569347E-13  3.000000000000113E+00  1.258853984917653E+03 -6.046826897238179E+02  6.541712951938348E+02  1.008108745948821E+21 -4.842387721990758E+20
